timestamp,mag_x,mag_y,mag_z
20,57.727272033691406,-34.818180084228516,-6.428571701049805
130,57.909088134765625,-34.818180084228516,-6.734694004058838
253,58.09090805053711,-34.45454406738281,-6.428571701049805
376,58.09090805053711,-34.3636360168457,-6.632652759552002
497,58.09090805053711,-34.272727966308594,-6.428571701049805
620,57.909088134765625,-34.6363639831543,-6.326530933380127
758,57.909088134765625,-34.818180084228516,-6.428571701049805
874,58.09090805053711,-34.6363639831543,-6.632652759552002
989,58.18181610107422,-34.54545593261719,-6.632652759552002
1112,58.0,-34.272727966308594,-6.326530933380127
1235,58.0,-34.6363639831543,-6.326530933380127
1358,58.18181610107422,-34.54545593261719,-6.530611991882324
1479,58.09090805053711,-34.54545593261719,-6.530611991882324
1613,58.0,-34.45454406738281,-6.224490165710449
1725,57.818180084228516,-34.45454406738281,-6.428571701049805
1853,57.727272033691406,-34.54545593261719,-6.326530933380127
1976,58.18181610107422,-34.727272033691406,-6.632652759552002
2108,58.27272415161133,-34.727272033691406,-6.122448921203613
2223,58.27272415161133,-34.3636360168457,-6.428571701049805
2346,58.09090805053711,-34.54545593261719,-6.734694004058838
2477,58.18181610107422,-34.54545593261719,-6.632652759552002
2605,58.09090805053711,-34.6363639831543,-6.632652759552002
2713,58.18181610107422,-34.727272033691406,-6.122448921203613
2842,57.909088134765625,-34.90909194946289,-5.306122303009033
2962,57.818180084228516,-34.727272033691406,-7.653061389923096
3083,56.09090805053711,-35.54545211791992,-15.306122779846191
3206,50.272727966308594,-42.272727966308594,-23.979591369628906
3329,47.45454406738281,-49.6363639831543,-19.489795684814453
3452,50.0,-49.727272033691406,-10.714285850524902
3575,49.45454406738281,-51.63636016845703,-7.142857551574707
3705,48.54545593261719,-54.000003814697266,-3.0612244606018066
3834,48.6363639831543,-54.36363983154297,4.7959184646606445
3957,48.6363639831543,-52.909088134765625,12.346939086914062
4065,48.3636360168457,-50.6363639831543,21.12244987487793
4188,48.727272033691406,-44.3636360168457,30.102041244506836
4319,47.272727966308594,-39.3636360168457,36.020408630371094
4434,47.818180084228516,-35.0,38.163265228271484
4557,47.3636360168457,-27.72727394104004,42.14285659790039
4678,46.90909194946289,-21.727272033691406,43.7755126953125
4810,46.818180084228516,-14.545454025268555,44.08163070678711
4924,46.181819915771484,-8.0,43.8775520324707
5061,46.272727966308594,-2.0,41.2244873046875
5175,46.45454406738281,1.0,39.693878173828125
5293,46.272727966308594,5.636363506317139,36.836734771728516
5416,45.90909194946289,9.545454025268555,33.67346954345703
5539,46.09090805053711,13.454545974731445,29.795917510986328
5660,45.727272033691406,16.72727394104004,26.122447967529297
5783,45.54545593261719,18.363636016845703,24.081632614135742
5906,45.54545593261719,20.18181800842285,19.081632614135742
6043,45.3636360168457,22.09090805053711,15.306122779846191
6166,45.27272415161133,23.090909957885742,10.816327095031738
6289,45.3636360168457,23.636363983154297,6.632652759552002
6404,44.909088134765625,23.909090042114258,2.857142925262451
6540,44.727272033691406,23.727272033691406,-0.7142857313156128
6678,44.818180084228516,23.81818199157715,-4.285714626312256
6801,44.3636360168457,23.81818199157715,-5.81632661819458
6938,44.54545211791992,22.90909194946289,-10.0
7061,44.45454406738281,22.72727394104004,-11.63265323638916
7199,44.0,22.27272605895996,-13.979591369628906
7322,43.727272033691406,21.545454025268555,-16.428571701049805
7431,43.6363639831543,20.81818199157715,-18.46938705444336
